,City,Country,Datetime,Latitude,Longitude,Max temperature (c),Humidity (%),Cloudiness (%),Wind Speed (mps)
0,ouesso,CG,1634715181,1.6136,16.0517,21.68,99,100,0.78
1,laguna,US,1634715183,38.421,-121.4238,18.03,54,90,0.45
2,guerrero negro,MX,1634715184,27.9769,-114.0611,17.13,73,90,4.63
3,victoria,HK,1634715050,22.2855,114.1577,29.1,70,82,4.92
4,mataura,NZ,1634715186,-46.1927,168.8643,4.85,85,1,1.11
5,punta arenas,CL,1634715187,-53.15,-70.9167,11.06,76,0,7.2
6,praia da vitoria,PT,1634715188,38.7333,-27.0667,17.64,94,40,3.35
7,puerto leguizamo,CO,1634715190,-0.1934,-74.7819,20.94,99,89,0.63
8,cabo san lucas,MX,1634715192,22.8909,-109.9124,26.95,75,47,4.33
9,puerto ayora,EC,1634715193,-0.7393,-90.3518,20.76,90,100,2.81
10,colorado,BR,1634715195,-22.8375,-51.9731,14.03,85,38,4.91
11,ushuaia,AR,1634715197,-54.8,-68.3,7.81,81,75,2.57
12,paracuru,BR,1634715199,-3.41,-39.0306,26.73,79,100,4.06
13,cape town,ZA,1634715018,-33.9258,18.4232,25.05,28,0,3.09
14,patos de minas,BR,1634715202,-18.5789,-46.5181,19.69,84,100,0.68
15,mumford,GH,1634715204,5.2618,-0.759,26.09,84,100,3.42
16,jamestown,US,1634715205,42.097,-79.2353,14.77,88,1,1.34
17,sao felix do xingu,BR,1634715207,-6.6447,-51.995,22.01,86,8,0.41
18,hilo,US,1634715208,19.7297,-155.09,28.49,83,75,2.06
19,hithadhoo,MV,1634715210,-0.6,73.0833,28.26,75,84,5.51
20,sinnamary,GF,1634715210,5.3833,-52.95,26.24,82,52,3.63
21,lagunillas,VE,1634715212,10.1301,-71.2595,25.18,87,7,1.84
22,upernavik,GL,1634715213,72.7868,-56.1549,0.53,99,100,8.59
23,faanui,PF,1634715215,-16.4833,-151.75,26.79,78,18,6.55
24,avarua,CK,1634715217,-21.2078,-159.775,23.03,73,75,1.54
25,rikitea,PF,1634715219,-23.1203,-134.9692,23.81,70,0,8.34
26,tabuk,PH,1634715220,17.4189,121.4443,27.35,81,53,0.78
27,pavlogradka,RU,1634715221,54.2024,73.5592,12.6,31,98,5.11
28,mar del plata,AR,1634715223,-38.0023,-57.5575,11.72,100,0,1.03
29,kaka,TM,1634715225,37.3482,59.6143,21.82,27,100,2.91
30,ribeira grande,PT,1634715226,38.5167,-28.7,19.22,77,40,3.09
31,pavilosta,LV,1634715228,56.8879,21.1859,12.97,96,100,11.47
32,glendive,US,1634715229,47.1053,-104.7125,0.35,86,1,3.09
33,dwarka,IN,1634715230,22.2394,68.9678,28.24,51,0,3.72
34,yellowknife,CA,1634715231,62.456,-114.3525,3.29,88,40,6.17
35,kavaratti,IN,1634715233,10.5669,72.642,27.8,73,96,4
36,souillac,MU,1634715233,-20.5167,57.5167,26.87,69,75,6.69
37,consuegra,ES,1634715235,39.4625,-3.608,16.53,62,52,1.63
38,revelstoke,CA,1634715236,50.9832,-118.2023,5.01,100,90,1.03
39,tuktoyaktuk,CA,1634715237,69.4541,-133.0374,-2.78,83,100,8
40,cidreira,BR,1634715239,-30.1811,-50.2056,16.66,69,96,5.2
41,atuona,PF,1634715241,-9.8,-139.0333,25.72,74,58,9.11
42,takoradi,GH,1634715243,4.8845,-1.7554,26.53,83,100,2.51
43,dikson,RU,1634715244,73.5069,80.5464,-5.01,76,42,1.15
44,georgetown,MY,1634715126,5.4112,100.3354,30.96,78,20,4.02
45,luderitz,NA,1634715042,-26.6481,15.1594,18.65,65,57,7.04
46,barrow,US,1634715247,71.2906,-156.7887,-3.99,80,90,14.92
47,college,US,1634715249,64.8569,-147.8028,3.18,72,75,3.09
48,lompoc,US,1634715251,34.6391,-120.4579,11.43,89,1,0
49,torbay,CA,1634715252,47.6666,-52.7314,9.86,98,90,3.6
50,pacific grove,US,1634715253,36.6177,-121.9166,14.45,76,90,0.89
51,vaini,TO,1634715255,-21.2,-175.2,22.09,83,75,4.63
52,port alfred,ZA,1634715256,-33.5906,26.891,21.25,52,0,7.64
53,busselton,AU,1634715258,-33.65,115.3333,17.25,85,97,7.89
54,svarstad,NO,1634715259,59.399,9.9698,11.01,94,100,2.43
55,arraial do cabo,BR,1634715261,-22.9661,-42.0278,17.43,86,100,7.31
56,saint-philippe,RE,1634715263,-21.3585,55.7679,26.77,73,41,5.6
57,luba,GQ,1634715264,3.4568,8.5547,25.24,83,100,1.22
58,nantucket,US,1634715266,41.2835,-70.0995,17.08,63,1,5.14
59,kasungu,MW,1634715267,-13.0333,33.4833,27.02,39,6,5.65
60,hermanus,ZA,1634715269,-34.4187,19.2345,26.06,58,45,5.65
61,norman wells,CA,1634715271,65.282,-126.8329,0.02,69,75,3.09
62,kodiak,US,1634715272,57.79,-152.4072,5.64,88,100,2.53
63,caninde de sao francisco,BR,1634715274,-9.66,-37.7894,21.37,94,28,0.85
64,sao miguel do araguaia,BR,1634715277,-13.275,-50.1628,22.31,77,99,0.89
65,bambous virieux,MU,1634715278,-20.3428,57.7575,26.79,69,75,6.69
66,bathsheba,BB,1634715280,13.2167,-59.5167,27.34,78,40,7.2
67,atar,MR,1634715281,20.5169,-13.0499,27.23,14,5,5.23
68,inhambane,MZ,1634715283,-23.865,35.3833,23.99,60,40,2.57
69,guarapuava,BR,1634715276,-25.3953,-51.4581,7.93,91,56,2.9
70,patiala,IN,1634715013,30.3267,76.4003,32.9,21,0,3.84
71,qaanaaq,GL,1634715286,77.484,-69.3632,-5.09,92,98,1.21
72,kiruna,SE,1634715288,67.8557,20.2251,-6.49,93,90,5.14
73,awbari,LY,1634715289,26.5921,12.7805,23.63,44,97,8.98
74,bredasdorp,ZA,1634715291,-34.5322,20.0403,19.04,52,10,5.32
75,santiago de cao,PE,1634715293,-7.9589,-79.2392,17.11,91,100,5.53
76,ponta do sol,PT,1634715295,32.6667,-17.1,22.78,51,48,1.92
77,tugulym,RU,1634715296,57.0591,64.6425,8.04,87,100,3.87
78,aklavik,CA,1634715304,68.2191,-135.0107,-5.54,81,100,3.71
79,port elizabeth,ZA,1634715306,-33.918,25.5701,23.39,67,0,3.6
80,nawa,IN,1634715308,27.0167,75,32.44,17,0,6.07
81,saint-pierre,RE,1634715308,-21.3393,55.4781,26.82,64,20,3.6
82,penzance,GB,1634715310,50.1186,-5.5371,15.38,94,20,7.2
83,saldanha,ZA,1634715311,-33.0117,17.9442,27.03,38,97,3.39
84,richards bay,ZA,1634715042,-28.783,32.0377,21.25,51,0,4.02
85,dufftown,GB,1634715313,57.4333,-3.1333,9.28,69,82,7.74
86,rock sound,BS,1634715315,24.9,-76.2,26.46,71,99,8.5
87,dawlatabad,AF,1634715316,36.4141,64.9053,26.09,8,68,2.8
88,ati,TD,1634715317,13.2154,18.3353,31.85,20,86,4.6
89,kitimat,CA,1634715318,54.0524,-128.6534,7.21,62,100,2.07
90,anse-bertrand,GP,1634715320,16.4721,-61.5078,24.9,74,20,7.11
91,boa vista,BR,1634715283,2.8197,-60.6733,24.99,83,75,2.06
92,tobermory,CA,1634715322,45.2501,-81.6665,15.38,80,5,5.93
93,nioro,GM,1634715323,13.35,-15.75,24.83,84,51,1.97
94,celestun,MX,1634715324,20.8667,-90.4,24.56,87,93,3.88
95,coro,VE,1634715244,11.4045,-69.6734,25.87,85,13,4.16
96,vilhena,BR,1634715326,-12.7406,-60.1458,19.35,96,19,0.84
97,san jose,US,1634715165,37.3394,-121.895,17.03,52,75,2.57
98,zhanaozen,KZ,1634715328,43.3,52.8,12.67,50,98,8.39
99,san patricio,US,1634715330,28.017,-97.5169,25.46,81,65,2.25
100,kapaa,US,1634715331,22.0752,-159.319,22.99,78,20,3.6
101,bethel,US,1634715333,41.3712,-73.414,16.2,66,1,4.12
102,lucea,JM,1634715334,18.451,-78.1736,26.92,80,99,4.96
103,conceicao da barra,BR,1634715335,-18.5933,-39.7322,21.6,95,100,3.01
104,fochville,ZA,1634715337,-26.4886,27.4939,17.48,32,6,3.57
105,statesboro,US,1634715338,32.4488,-81.7832,11.08,93,1,0
106,longyearbyen,SJ,1634715340,78.2186,15.6401,-11.09,67,20,6.17
107,heinola,FI,1634715342,61.2056,26.0381,3.05,94,100,6.91
108,rapid valley,US,1634715343,44.0625,-103.1463,2.14,94,90,2.68
109,sergeyevka,KZ,1634715344,53.88,67.4158,14.1,26,98,5.39
110,niquelandia,BR,1634715266,-14.4739,-48.4597,22.23,76,99,0.63
111,oktyabrskoye,RU,1634715347,43.0645,44.7417,5.08,87,90,4
112,montlucon,FR,1634715251,46.3333,2.6,17.84,75,100,1.79
113,beloha,MG,1634715349,-25.1667,45.05,23.35,63,100,5.32
114,caravelas,BR,1634715350,-17.7125,-39.2481,21.34,96,100,2.37
115,provideniya,RU,1634715352,64.3833,-173.3,-4.03,88,75,2.03
116,cervo,ES,1634715354,43.6702,-7.4101,17.95,85,30,4.61
117,faya,SA,1634715355,18.3851,42.4509,23.06,18,66,4.88
118,komsomolskoye,RU,1634715357,55.2567,47.5461,3.27,63,100,6.02
119,autazes,BR,1634715359,-3.5797,-59.1306,23.73,81,53,0.81
120,omboue,GA,1634715330,-1.5746,9.2618,26.6,76,99,2.64
121,marawi,PH,1634715288,7.9986,124.2928,22.13,94,100,1.43
122,metu,ET,1634715345,8.3,35.5833,23.89,39,38,2.26
123,tyulgan,RU,1634715362,52.3405,56.166,3.9,66,100,6.85
124,zarate,AR,1634715212,-34.0981,-59.0286,15.53,91,0,1.89
125,makokou,GA,1634715330,0.5738,12.8642,21.19,94,90,2.06
126,gillette,US,1634715283,44.2911,-105.5022,0.53,96,90,4.47
127,thompson,CA,1634715365,55.7435,-97.8558,1.09,60,90,3.6
128,sioux lookout,CA,1634715366,50.1001,-91.917,0.21,80,20,3.09
